id,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,tahun,jumlah_kasus_meninggal,jenis_kelamin_encoded,mortality_rate,case_fatality_rate
469,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,770,2022,5,0,0.006493506493506494,0.6493506493506493
470,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,761,2022,4,1,0.005256241787122208,0.5256241787122208
471,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,487,2022,6,0,0.012320328542094456,1.2320328542094456
472,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,541,2022,7,1,0.012939001848428836,1.2939001848428837
473,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,2646,2022,6,0,0.0022675736961451248,0.22675736961451248
474,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,2559,2022,4,1,0.0015631105900742479,0.15631105900742479
475,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,139,2022,0,0,0.0,0.0
476,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,131,2022,4,1,0.030534351145038167,3.0534351145038165
477,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,1233,2022,7,0,0.0056772100567721,0.5677210056772101
478,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,1209,2022,7,1,0.005789909015715467,0.5789909015715468
479,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,1178,2022,8,0,0.006791171477079796,0.6791171477079796
480,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,1056,2022,6,1,0.005681818181818182,0.5681818181818182
481,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,305,2022,3,0,0.009836065573770493,0.9836065573770493
482,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,370,2022,11,1,0.02972972972972973,2.9729729729729732
483,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,912,2022,12,0,0.013157894736842105,1.3157894736842104
484,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,943,2022,17,1,0.018027571580063628,1.8027571580063628
485,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,56,2022,3,0,0.05357142857142857,5.357142857142857
486,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,57,2022,0,1,0.0,0.0
